Level,Date and Time,Source,Event ID,Task Category
Information,29/10/2021 15.46.51,Microsoft-Windows-Kernel-Power,507,(158),"The system is exiting Modern Standby 

Reason: 16777220."
Information,29/10/2021 15.46.50,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 19 to 20.

Reason: 3"
Information,29/10/2021 15.46.50,Microsoft-Windows-Kernel-Power,506,(157),"The system is entering Modern Standby 

Reason: Lid."
Information,29/10/2021 15.46.50,Microsoft-Windows-Kernel-Power,566,(268),"The system session has transitioned from 18 to 19.

Reason: 3"
Information,29/10/2021 15.45.19,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,29/10/2021 15.28.15,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,29/10/2021 15.11.11,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,29/10/2021 15.07.00,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 15.06.59,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 14.53.51,Microsoft-Windows-Time-Service,37,None,"The time provider NtpClient is currently receiving valid time data from time.windows.com,0x9 (ntp.m|0x9|[::]:123->[64:ff9b::3494:72bc]:123)."
Information,29/10/2021 14.53.51,Microsoft-Windows-Time-Service,158,None,The time provider 'VMICTimeProvider' has indicated that the current hardware and operating environment is not supported and has stopped. This behavior is expected for VMICTimeProvider on non-HyperV-guest environments. This may be the expected behavior for the current provider in the current operating environment as well.
Information,29/10/2021 14.33.27,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 14.33.26,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 14.01.22,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.
Information,29/10/2021 13.59.16,Service Control Manager,7040,None,The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information,29/10/2021 13.31.10,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 13.31.09,Microsoft-Windows-Kernel-Power,521,(220),Active battery count change.
Information,29/10/2021 13.03.01,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
Information,29/10/2021 13.03.00,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installation Started: Windows has started installing the following update: 9WZDNCRFHVQM-MICROSOFT.WINDOWSCOMMUNICATIONSAPPS
Information,29/10/2021 13.02.58,Microsoft-Windows-Kernel-General,16,None,The access history in hive \??\C:\ProgramData\Microsoft\Windows\AppRepository\Packages\microsoft.windowscommunicationsapps_16005.14326.20544.0_x64__8wekyb3d8bbwe\ActivationStore.dat was cleared updating 0 keys and creating 0 modified pages.
Information,29/10/2021 13.02.35,Microsoft-Windows-WindowsUpdateClient,19,Windows Update Agent,Installation Successful: Windows successfully installed the following update: 9NT52VQ39BVN-Microsoft.LanguageExperiencePacken-GB
Information,29/10/2021 13.02.34,Microsoft-Windows-WindowsUpdateClient,43,Windows Update Agent,Installatio
